"SYMBOL","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE (₹ Crores)","NAV","52W H","52W L","30D %CHNG","365 D","365 D % CHNG","30 D"
"AUTOIETF","Nifty Auto Index","21.60","21.84","21.38","21.59","21.78","-","0.19","0.88","4,38,783","0.95","21.60","28.36","19.72",0.41,"16-Apr-2024","-1.18","18-Mar-2025"
"NIFTYQLITY","Aditya Birla Sun Life Nifty 200 Quality 30 ETF","20.04","20.05","19.64","19.82","19.99","-","0.17","0.86","1,45,187","0.29","19.79","25.10","18.30",3.8,"16-Apr-2024","5.56","18-Mar-2025"
"GOLD360","Commodity ﾖ Gold","93.95","94.90","93.95","93.80","94.60","-","0.80","0.85","2,070","0.02","93.57","94.90","86.30","-","-","-","-"
"MID150CASE","Zerodha Nifty Midcap 150 ETF","9.65","9.66","9.55","9.56","9.64","-","0.08","0.84","12,96,458","1.24","9.57","12.97","7.66",5.49,"-","-","18-Mar-2025"
"EQUAL200","BSE 200 Equal Weight","12.02","12.15","12.00","12.03","12.13","-","0.10","0.83","17,939","0.02","10.38","12.36","11.03","-","-","-","-"
"ICICIB22","S&P BSE BHARAT 22 index","105.25","105.72","103.25","104.73","105.58","-","0.85","0.81","6,75,551","7.08","104.67","124.00","93.02",5.25,"16-Apr-2024","2.29","18-Mar-2025"
"MOREALTY","Motilal Oswal Nifty Realty ETF","83.72","84.73","83.29","83.71","84.39","-","0.68","0.81","1,64,119","1.38","83.98","115.79","77.00",2.63,"16-Apr-2024","-10.31","18-Mar-2025"
"NEXT50IETF","Nifty Next 50","67.80","67.80","65.80","66.46","66.99","-","0.53","0.80","6,02,776","4.02","66.56","81.64","58.70",5.12,"16-Apr-2024","3.94","18-Mar-2025"
"MOMENTUM","Aditya Birla Sun Life Nifty 200 Momentum 30 ETF","28.40","28.40","27.80","28.03","28.25","-","0.22","0.78","74,676","0.21","28.02","39.57","25.75",1.4,"16-Apr-2024","-9.88","18-Mar-2025"
"LOWVOL1","Kotak Nifty 100 Low Vol 30 ETF","19.19","19.82","19.19","19.53","19.68","-","0.15","0.77","1,29,666","0.25","19.53","23.41","17.00",4.51,"16-Apr-2024","7.66","18-Mar-2025"
"BBNPPGOLD","Baroda BNP Paribas Gold ETF","93.65","93.65","92.90","92.35","93.05","-","0.70","0.76","1,467","0.01","92.50","94.90","67.10",7.02,"16-Apr-2024","28.26","18-Mar-2025"
"ITBEES","Nifty IT TRI","35.65","36.27","35.15","35.97","36.24","-","0.27","0.75","1,74,47,191","62.13","35.96","49.76","33.63",-8.49,"16-Apr-2024","1.32","18-Mar-2025"
